program_id,program_slug,program_name,geography,state,utility_ids,subsidy_type,public_side_covered,private_side_covered,income_rules,property_rules,contractor_rules,deadline,application_url,source_refs,verification_status,last_verified
dc-water-lprap,dc-water-lprap,Lead Pipe Replacement Assistance Program,District of Columbia,dc,dc-water-dc,100 percent discount for eligible private-side-only replacements,no public-side work in this program,yes with approved contractor,DOEE reviews income verification to confirm assistance level,private-space lead or galvanized or brass with public-space copper,homeowner must use the approved contractor list,,https://www.dcwater.com/resources/lead/partners-removing-lead/replacelead/customer-initiated-private-side-lead-replacement,src-dc-private-program,verified,2026-04-04
dc-water-voluntary-full-replacement,dc-water-voluntary-full-replacement,Voluntary Replacement Program,District of Columbia,dc,dc-water-dc,DC Water coordinates full replacement when both sides are lead and no capital project is scheduled,yes DC Water pays for all work in public space,yes property owner pays for private property work,no published income screen,property owner must request replacement and confirm lead on private property,owner may hire a private plumber or DC Water contractor and must coordinate permits,,https://www.dcwater.com/resources/lead/partners-removing-lead/replacelead/customer-initiated-full-lead-replacements,src-dc-full-program,verified,2026-04-04
denver-water-lead-reduction-program,denver-water-lead-reduction-program,Lead Reduction Program,Denver Water service area,co,denver-water-co,utility-managed replacement of customer-owned lead service lines at no direct charge,yes when replacement is discovered during water main work or program coordination,yes customer-owned lead service line is replaced with copper at no direct charge,no published income screen,customer-owned lead service lines in the service area are replaced through neighborhood scheduling and consent,Denver Water or its contractors perform the replacement,,https://www.denverwater.org/your-water/water-quality/lead/lead-service-line-replacement-program,src-denver-program,verified,2026-04-04
denver-water-reimbursement,denver-water-reimbursement,Lead Service Line Replacement Reimbursement,Denver Water service area,co,denver-water-co,one-time $3800 reimbursement for approved off-schedule replacements,only if street portion is also replaced when lead,partial reimbursement for owner-managed replacement,no published income screen,property owner must apply in advance and property cannot be on the current or next-year schedule,owner-managed contractor replacement must satisfy Denver Water reimbursement rules,,https://www.denverwater.org/your-water/water-quality/lead/lead-service-line-reimbursement,src-denver-reimbursement,verified,2026-04-04
milwaukee-prioritization-program,milwaukee-prioritization-program,Milwaukee Prioritization Program,City of Milwaukee,wi,milwaukee-water-works-wi,city-managed replacement focused on neighborhoods with the greatest need,yes in city-managed replacements,depends on the replacement trigger and property type,no published income screen,neighborhood prioritization uses lead line density child blood lead data and socioeconomic need,city-managed replacement scheduling,,https://city.milwaukee.gov/water/LeadPipes/MPP,src-milwaukee-prioritization,verified,2026-04-04
milwaukee-owner-request-program,milwaukee-owner-request-program,Lead Service Line Replacement Owner Request Program,City of Milwaukee,wi,milwaukee-water-works-wi,owner request pathway with city payment on the public side and owner payment rules on the private side,yes Milwaukee Water Works pays the public side,yes owner pays the lesser of actual private-side cost or the annual average,no published income screen,only owners of 1-4 unit residential properties with no commercial use are eligible,city selects approved properties each year and handles scheduling,,https://city.milwaukee.gov/water/WaterQuality/LeadandWater/LSLR-Owner-Request,src-milwaukee-owner-request,verified,2026-04-04
lead-free-sprws,lead-free-sprws,Lead Free SPRWS,SPRWS service area,mn,saint-paul-regional-water-services-mn,no-cost lead line replacement for eligible properties,yes when the utility replaces the full line,yes at no cost to property owners in the current program,no published income screen,eligibility depends on service line material and current construction area,SPRWS coordinates all work,,https://www.stpaul.gov/departments/saint-paul-regional-water-services/customer-resources/lead-free-sprws,src-saint-paul-program,verified,2026-04-04
providence-accelerated-replacement,providence-accelerated-replacement,Accelerated Lead Service Line Replacement Program,Providence Water service area,ri,providence-water-ri,federally funded free replacement program,yes public side is replaced at no cost,yes customer side is replaced at no cost in funded contracts,no published income screen,property owner must sign a right of entry and wait for planned construction contracts,Providence Water contractors complete the work,,https://www.provwater.com/water-quality/lead-center/lead-service-line-replacement-programs,src-providence-program,verified,2026-04-04
providence-loan-program,providence-loan-program,Providence Water 0 Percent Loan Program,Providence Water service area,ri,providence-water-ri,10-year 0 percent interest loan for private-side replacement,yes Providence Water replaces the public side at no cost when the owner replaces the private side,loan-supported private-side replacement,no published income screen,used when a property is not currently in a funded contract,owner uses the Providence Water loan pathway and replacement rules,,https://www.provwater.com/water-quality/lead-center/lead-service-line-replacement-programs,src-providence-loan,verified,2026-04-04
philadelphia-service-line-verification,philadelphia-service-line-verification,Service Line Verification Program,Philadelphia,pa,philadelphia-water-department-pa,free temporary verification program with free replacement if lead or galvanized is found,no separate public-side utility share because the line is customer-owned in Philadelphia,yes for selected properties if lead or galvanized is found,no published income screen,several hundred selected properties were invited and only invited owners can participate,PWD crews verify material and arrange replacement if needed,,https://water.phila.gov/service-line/verification/,src-philadelphia-verification,verified,2026-04-04
philadelphia-help-loan,philadelphia-help-loan,HELP Loan for Lead Service Lines,Philadelphia,pa,philadelphia-water-department-pa,zero-interest loan pathway for confirmed lead service line replacement,no separate public-side utility share because the line is customer-owned in Philadelphia,loan can cover replacement cost,no published income screen,property must meet HELP loan rules and have a confirmed lead line,owner applies through the HELP program and uses approved repair workflow,,https://water.phila.gov/helploan/,src-philadelphia-help,verified,2026-04-04
pittsburgh-reimbursement,pittsburgh-reimbursement,Lead Service Line Replacement Reimbursement Program,Pittsburgh,pa,pittsburgh-water-pa,up to 100 percent reimbursement based on income,not a separate public-side grant statement on the reimbursement page,yes via reimbursement or stipend pathway,income review determines 100 percent 75 percent 50 percent or stipend support,available to customers who replaced a private lead service line since January 2019,customer hires the plumber and submits reimbursement paperwork,,https://lead.pgh2o.com/leadreimbursement/,src-pittsburgh-program,verified,2026-04-04
