cost_id,utility_id,city,state,public_side_band,private_side_band,full_replacement_band,cost_confidence,housing_type_assumption,permit_assumption,restoration_assumption,source_refs,last_verified,methodology_summary,owner_trigger_summary
dc-water-cost-2026,dc-water-dc,washington,dc,Public-side work is utility-managed when DC Water initiates or coordinates a full replacement,$7200 estimated FY 2024 private-side-only replacement cost,$21000 estimated FY 2024 full replacement cost including permitting traffic control paving and private-property restoration,medium,DC Water FY 2024 estimate based on contractor bids and restoration costs,DC Water estimate includes permitting fees and street traffic maintenance,DC Water estimate includes road paving and restoration of private property to pre-construction conditions,src-dc-cost|src-dc-full-program|src-dc-private-program,2026-04-04,DC Water publishes a utility-specific FY 2024 methodology page with separate private-side-only and full replacement estimates tied to bids permitting traffic control paving and private-property restoration.,Owners use the 100 percent assistance path when they qualify for Lead Pipe Replacement Assistance and otherwise face private-property cost in the voluntary full replacement path when no capital project is already scheduled.
denver-water-cost-2026,denver-water-co,denver,co,No direct charge to the customer when Denver Water replaces the line under the Lead Reduction Program or during water main work,$3800 one-time reimbursement for approved off-schedule replacements and the owner covers the remaining private-side cost,No direct charge under the main program but owner-managed early replacement uses the $3800 reimbursement path,low,Customer-owned lead service line in Denver Water's service area replaced through the utility program or approved reimbursement flow,Reimbursement cases must be approved in advance and cannot conflict with paving moratoriums,Owner-managed replacement scope varies when using the reimbursement option,src-denver-program|src-denver-reimbursement,2026-04-05,Denver does not publish a local homeowner bid range for early replacement and instead splits cost between the no-direct-charge utility-run Lead Reduction Program and a capped $3800 reimbursement path for approved off-schedule cases.,Owners avoid direct cost only when Denver Water schedules the address in the utility program or replaces the line during water-main work and otherwise move into an owner-managed contractor path with capped reimbursement.
milwaukee-water-works-cost-2026,milwaukee-water-works-wi,milwaukee,wi,Milwaukee Water Works pays the publicly owned section,$3999 average 2025 private-side cost in the Owner Request Program and the owner pays the lesser of actual cost or the average cost,For many required 1-4 unit non-commercial replacements the owner pays nothing and owner-request replacements require the owner to cover the private side,medium,Published owner-request assumptions for Milwaukee residential properties,Program selection and city scheduling determine when work can proceed,Actual contractor scope varies by property and Milwaukee cites an annual average rather than a fixed bid,src-milwaukee-owner-request|src-milwaukee-notification,2026-04-04,Milwaukee publishes a utility-specific owner-request methodology anchored to the 2025 average private-side cost and a separate no-cost path for required replacement cases that the city schedules.,Owners pay only in the owner-request path while required 1-4 unit non-commercial replacement cases can be city-funded and use a different notice and scheduling workflow.
saint-paul-cost-2026,saint-paul-regional-water-services-mn,saint-paul,mn,No direct charge to property owners under Lead Free SPRWS,No direct charge to property owners under Lead Free SPRWS,No direct charge when the property is eligible in the current replacement program,medium,SPRWS published no-cost replacement language for eligible addresses,SPRWS schedules work by construction area and eligibility,SPRWS coordinates replacement and restoration through the program,src-saint-paul-program|src-saint-paul-notification,2026-04-04,SPRWS ties the cost page to its Lead Free SPRWS 10-year replacement program and area-based scheduling so the route reflects funded eligibility rather than an owner quote or market bid.,Owners avoid direct cost only when the address enters the active Lead Free SPRWS workflow and the property is scheduled in an eligible construction area after the utility's outreach and intent process.
providence-water-cost-2026,providence-water-ri,providence,ri,Providence Water replaces the public side at no cost when the owner participates,Private side can be replaced for free in funded contracts or financed through a 10-year 0 percent loan,Full replacement can be free in funded contracts and otherwise uses the loan pathway,low,Providence Water published program options rather than a fixed bid range,Program timing depends on whether the address is in a planned contract,Restoration and final scope depend on the active contract or private-side loan project,src-providence-program|src-providence-loan,2026-04-05,Providence Water frames cost through two utility-specific paths rather than a single price: free replacement inside planned federally and state-funded contracts and a separate 10-year 0 percent loan path outside that queue.,Owners avoid direct cost only when the property is already inside Providence Water's funded contract schedule and otherwise must use the separate loan workflow to replace the private side before the utility replaces its portion.
philadelphia-water-cost-2026,philadelphia-water-department-pa,philadelphia,pa,No separate public-side utility share because service lines are customer-owned in Philadelphia,HELP can provide a zero-interest loan and selected verification participants may receive free replacement,Full replacement cost depends on the owner's contractor unless the property is in a free verification replacement path,low,Philadelphia publishes loan and selected free replacement pathways rather than citywide bid ranges,Owners must confirm lead status and meet HELP or verification rules,Restoration depends on the contractor or the limited PWD verification replacement scope,src-philadelphia-verification|src-philadelphia-help,2026-04-05,Philadelphia does not publish a citywide replacement price because service lines are customer-owned and instead splits cost between a limited free verification-replacement path and the zero-interest HELP loan for confirmed lead lines.,Owners avoid direct cost only if the property is selected for the limited Service Line Verification Program and otherwise remain responsible for choosing a contractor and using HELP or another owner-managed payment path.
pittsburgh-water-cost-2026,pittsburgh-water-pa,pittsburgh,pa,Public-side costs are handled through Pittsburgh Water replacement work when applicable,Private-side replacements may qualify for up to 100 percent reimbursement or a $1000 stipend based on income,Full replacement responsibility depends on the utility project trigger and reimbursement tier,low,Pittsburgh Water publishes reimbursement tiers rather than a universal replacement price,Owners must complete the work and submit reimbursement documentation,Actual restoration depends on the hired contractor and reimbursement path,src-pittsburgh-program|src-pittsburgh-notification,2026-04-05,Pittsburgh Water does not publish one citywide price and instead frames cost through income-based reimbursement tiers plus city-led replacement triggers such as neighborhood work and water-main projects.,Owners avoid direct cost only when Pittsburgh Water replaces the line through its residential replacement workflow and otherwise must complete the private replacement and submit reimbursement paperwork to recover part or all of the cost.
newark-water-cost-2026,newark-water-oh,newark,oh,City of Newark replaces from the main line to the meter free of charge,City of Newark says the service line replacement is free of charge to the homeowner through the current program,Full replacement from main to meter is free of charge in the current grant-funded program,medium,Newark's current program language applies to eligible noticed properties and signup flow,Eligibility depends on program notices and replacement map status,City-funded restoration of disturbed areas is included in the current program,src-newark-program|src-newark-notification,2026-04-04,Newark's current cost page is grounded in the city's grant-funded promise to replace the full line from the main to the meter and restore disturbed areas without charging the homeowner.,Owners avoid direct cost only when the property is in the city's current replacement workflow and the owner follows the notice and sign-up path instead of arranging a separate private replacement.
gcww-cost-2026,greater-cincinnati-water-works-oh,cincinnati,oh,GCWW says it pays 100 percent of replacement costs with participation in the program,GCWW says it pays 100 percent of replacement costs with participation in the program,GCWW says it pays 100 percent of all replacement costs for participating properties,medium,GCWW program language states full coverage rather than a bid range,Participation depends on GCWW program triggers and property eligibility,GCWW states restoration work is completed after replacement,src-gcww-program|src-gcww-notification,2026-04-04,GCWW does not publish a local bid range; it publishes a utility-run program where replacement and restoration costs are carried by GCWW for properties that enter the official participation workflow.,Owners avoid direct cost only when the address enters one of GCWW's replacement triggers such as child care facilities leaks water-main work elevated lead results or targeted-area prioritization.
madison-water-cost-2026,madison-water-utility-wi,madison,wi,No public-side cost is published because Madison reports no known utility-owned lead service lines,Up to $3000 rebate may be available if a property owner discovers lead service on private property,Full replacement cost is mostly owner-managed with rebate support rather than a published citywide price,low,Madison publishes rebate support but not current bid ranges,Owner must confirm lead service on private property and contact Madison Water,Contractor and restoration scope vary by private-property conditions,src-madison-program|src-madison-notification,2026-04-05,Madison does not have a citywide utility replacement price because it reports no known utility-owned lead service lines and instead offers a capped rebate only when a property owner discovers lead on private property.,Owners stay on an owner-managed path unless private lead is discovered and Madison Water confirms rebate eligibility so this route remains a rebate guide rather than a no-cost program page.
